record_id,site_name,material,quantity_tons,grade_percent,extraction_date,operator,status,depth_meter,cost_usd
70,Tambang B,Batubara,895.11,3.18,2024-08-02 09:02:07.258163,PT Tambang Jaya,Reklamasi,66.1,21208.59
71,Tambang B,Batubara,936.98,2.39,2023-12-05 01:30:46.644406,PT Mineral Nusantara,Reklamasi,166.6,59793.83
72,Tambang B,Nikel,809.3,1.19,2023-12-19 04:04:58.921507,PT Tambang Jaya,Non-Aktif,89.4,22384.77
73,Tambang A,Batubara,639.24,2.61,2020-01-09 16:12:48.211457,PT Mineral Nusantara,Aktif,182.4,73687.13
74,Tambang B,Nikel,310.68,3.61,2021-03-05 09:14:46.247378,PT Emas Sejahtera,Aktif,88.8,42631.2
75,Tambang A,Tembaga,983.12,4.1,2024-08-29 12:22:22.690290,PT Tambang Jaya,Aktif,272.9,82452.73
76,Tambang B,Batubara,281.39,2.72,2022-07-11 14:31:29.378614,PT Mineral Nusantara,Aktif,109.7,94905.41
77,Tambang D,Nikel,210.63,1.24,2020-02-08 02:10:04.746900,PT Emas Sejahtera,Reklamasi,273.2,55989.74
78,Tambang D,Emas,447.73,2.37,2022-03-24 06:23:11.333878,PT Emas Sejahtera,Reklamasi,91.0,90166.08
79,Tambang C,Batubara,66.27,4.04,2024-03-11 19:42:33.926277,PT Tambang Jaya,Non-Aktif,185.3,4345.33
80,Tambang D,Tembaga,978.71,2.36,2024-09-17 01:15:47.617705,PT Mineral Nusantara,Non-Aktif,47.8,46806.44
81,Tambang C,Nikel,592.55,3.63,2022-01-09 20:39:13.819479,PT Mineral Nusantara,Aktif,235.7,50846.07
82,Tambang D,Batubara,561.38,2.78,2020-06-03 07:51:02.614655,PT Mineral Nusantara,Aktif,68.1,42165.45
83,Tambang A,Batubara,659.24,1.59,2021-10-04 11:10:20.273981,PT Emas Sejahtera,Non-Aktif,260.6,32169.38
84,Tambang D,Batubara,502.05,4.08,2024-09-17 12:13:54.634888,PT Mineral Nusantara,Non-Aktif,141.2,72573.25
85,Tambang C,Tembaga,41.74,0.88,2024-10-29 19:04:13.652082,PT Emas Sejahtera,Aktif,37.4,55715.54
86,Tambang C,Nikel,616.19,2.86,2023-11-14 13:39:55.164892,PT Mineral Nusantara,Reklamasi,115.4,9159.22
87,Tambang B,Emas,719.01,1.44,2023-06-15 07:58:05.263595,PT Emas Sejahtera,Reklamasi,236.1,95120.54
88,Tambang A,Emas,422.58,0.8,2022-04-19 07:23:25.111694,PT Tambang Jaya,Reklamasi,32.1,88864.21
89,Tambang D,Emas,759.72,2.76,2022-01-04 02:17:12.811618,PT Emas Sejahtera,Reklamasi,191.5,35993.37
90,Tambang B,Nikel,234.73,2.75,2022-11-23 06:44:20.401826,PT Mineral Nusantara,Reklamasi,157.1,25373.49
91,Tambang D,Emas,229.06,3.68,2021-10-18 22:38:03.510678,PT Emas Sejahtera,Non-Aktif,99.9,63218.73
92,Tambang D,Tembaga,169.8,3.85,2021-03-26 09:04:24.275997,PT Mineral Nusantara,Non-Aktif,229.1,5287.45
93,Tambang B,Nikel,378.27,3.78,2021-02-25 23:32:45.768371,PT Tambang Jaya,Aktif,25.2,50103.37
94,Tambang B,Batubara,848.54,2.34,2024-03-22 22:37:21.413043,PT Emas Sejahtera,Non-Aktif,154.3,67589.91
95,Tambang B,Tembaga,829.63,3.34,2021-09-21 12:08:39.043927,PT Tambang Jaya,Non-Aktif,157.0,41261.84
96,Tambang B,Batubara,389.0,3.1,2022-11-15 17:42:50.716449,PT Emas Sejahtera,Non-Aktif,35.1,97256.86
97,Tambang B,Emas,593.23,2.4,2021-03-29 22:48:04.025962,PT Emas Sejahtera,Non-Aktif,49.4,72167.63
98,Tambang D,Tembaga,723.61,3.19,2024-11-14 23:26:26.408005,PT Tambang Jaya,Aktif,128.8,93472.61
99,Tambang B,Nikel,248.79,4.76,2022-07-09 04:51:55.773631,PT Tambang Jaya,Non-Aktif,165.6,90881.23
100,Tambang A,Tembaga,176.46,1.37,2021-11-11 12:33:06.586070,PT Emas Sejahtera,Non-Aktif,25.4,14038.02
101,Tambang C,Batubara,972.38,4.58,2021-02-02 07:12:31.957343,PT Emas Sejahtera,Aktif,13.4,67194.29
102,Tambang B,Nikel,621.38,0.74,2021-03-08 05:46:22.595581,PT Emas Sejahtera,Non-Aktif,65.9,60072.04
103,Tambang B,Tembaga,981.6,1.89,2022-11-19 17:32:48.908569,PT Tambang Jaya,Aktif,151.5,6428.24
104,Tambang D,Tembaga,344.38,1.8,2024-06-17 17:24:37.427270,PT Mineral Nusantara,Reklamasi,21.7,32470.82
105,Tambang B,Tembaga,706.0,3.32,2022-03-22 05:56:58.689902,PT Tambang Jaya,Reklamasi,222.6,53923.27
106,Tambang B,Tembaga,230.38,1.09,2023-11-11 02:51:07.744296,PT Emas Sejahtera,Non-Aktif,54.1,55267.3
107,Tambang B,Nikel,268.59,4.47,2024-05-26 00:17:07.312549,PT Emas Sejahtera,Non-Aktif,234.1,81593.69
108,Tambang D,Batubara,516.78,4.23,2020-12-09 18:52:11.680004,PT Tambang Jaya,Non-Aktif,69.4,59176.11
109,Tambang B,Tembaga,326.42,3.43,2022-09-19 21:48:31.632354,PT Emas Sejahtera,Non-Aktif,110.5,47184.14
110,Tambang C,Nikel,175.95,2.56,2021-10-25 17:39:35.644694,PT Emas Sejahtera,Reklamasi,148.9,75443.98
111,Tambang D,Batubara,270.25,4.7,2020-09-26 17:48:18.704460,PT Emas Sejahtera,Reklamasi,110.7,57518.11
112,Tambang C,Tembaga,45.39,4.24,2023-11-20 05:28:15.179775,PT Emas Sejahtera,Non-Aktif,16.8,88491.9
113,Tambang D,Batubara,707.38,2.75,2021-12-15 07:39:43.874232,PT Emas Sejahtera,Aktif,273.5,90641.12
114,Tambang B,Batubara,497.2,3.66,2022-07-13 18:57:40.138609,PT Mineral Nusantara,Aktif,93.1,60834.39
115,Tambang C,Nikel,103.3,3.05,2024-09-07 18:24:57.379552,PT Tambang Jaya,Reklamasi,49.5,56869.22
116,Tambang D,Batubara,179.98,3.15,2020-01-06 05:23:32.718949,PT Tambang Jaya,Aktif,48.4,70426.73
117,Tambang A,Nikel,111.51,1.99,2023-06-11 11:05:05.241344,PT Tambang Jaya,Non-Aktif,292.6,72825.75
118,Tambang B,Tembaga,616.47,2.58,2022-12-29 06:45:06.826309,PT Mineral Nusantara,Non-Aktif,45.7,72989.7
119,Tambang D,Batubara,103.27,0.85,2022-05-16 06:09:32.863012,PT Mineral Nusantara,Non-Aktif,110.5,62449.94
120,Tambang A,Batubara,756.74,2.11,2023-03-08 02:19:39.103027,PT Tambang Jaya,Non-Aktif,29.6,76518.55
121,Tambang D,Emas,30.31,3.63,2024-11-27 14:48:17.781384,PT Tambang Jaya,Non-Aktif,223.3,15267.44
122,Tambang A,Tembaga,256.88,4.79,2021-01-30 02:15:56.630705,PT Tambang Jaya,Aktif,183.1,82325.9
123,Tambang B,Tembaga,891.76,4.83,2024-06-28 05:40:36.849508,PT Emas Sejahtera,Aktif,164.7,31732.81
124,Tambang C,Emas,721.35,3.0,2021-11-20 02:21:01.836518,PT Mineral Nusantara,Reklamasi,258.2,88683.09
125,Tambang A,Emas,82.24,3.23,2024-10-21 01:28:11.786451,PT Mineral Nusantara,Reklamasi,176.3,14050.8
126,Tambang D,Nikel,822.91,1.34,2021-01-17 02:05:10.797340,PT Emas Sejahtera,Aktif,287.1,1356.71
127,Tambang B,Nikel,498.1,3.63,2020-03-18 07:09:10.705987,PT Mineral Nusantara,Aktif,190.6,2551.59
128,Tambang A,Batubara,848.32,0.82,2021-07-28 06:54:17.206437,PT Tambang Jaya,Reklamasi,112.8,21805.83
129,Tambang D,Batubara,604.73,1.78,2024-09-16 04:59:29.836541,PT Mineral Nusantara,Non-Aktif,20.7,12263.69
130,Tambang D,Batubara,685.01,3.51,2023-04-12 02:12:09.170961,PT Emas Sejahtera,Reklamasi,220.3,55837.37
131,Tambang D,Batubara,993.57,1.9,2022-12-04 13:39:55.963689,PT Tambang Jaya,Reklamasi,118.4,45393.0
132,Tambang A,Nikel,240.01,0.72,2020-06-25 07:47:17.531069,PT Mineral Nusantara,Aktif,183.8,60999.22
133,Tambang A,Tembaga,627.71,4.24,2021-10-13 23:59:32.871129,PT Tambang Jaya,Reklamasi,264.1,20073.05
134,Tambang A,Batubara,465.72,1.9,2022-05-20 09:43:44.991316,PT Mineral Nusantara,Reklamasi,12.2,75630.06
135,Tambang C,Tembaga,49.06,0.78,2023-04-11 05:47:23.902580,PT Tambang Jaya,Aktif,230.3,61436.42
136,Tambang A,Batubara,24.33,0.84,2023-07-20 11:36:27.701259,PT Emas Sejahtera,Non-Aktif,136.2,22898.24
137,Tambang A,Emas,128.04,1.63,2022-07-10 16:42:43.576077,PT Emas Sejahtera,Non-Aktif,46.0,40493.57
138,Tambang A,Batubara,652.6,1.3,2022-07-24 20:37:50.178015,PT Mineral Nusantara,Non-Aktif,178.9,72102.34
139,Tambang C,Batubara,571.49,3.98,2020-04-11 17:47:10.273128,PT Mineral Nusantara,Aktif,164.5,68356.7
140,Tambang A,Batubara,557.9,1.95,2023-01-29 22:51:36.123424,PT Tambang Jaya,Reklamasi,254.3,56671.5
141,Tambang D,Nikel,41.54,4.12,2020-04-07 15:46:48.538180,PT Emas Sejahtera,Non-Aktif,161.3,97922.77
142,Tambang A,Emas,474.61,1.28,2024-03-03 05:58:31.284129,PT Tambang Jaya,Reklamasi,249.9,14050.44
143,Tambang D,Batubara,925.38,2.72,2021-02-11 09:22:30.128545,PT Emas Sejahtera,Aktif,167.9,49339.63
144,Tambang D,Batubara,403.62,3.6,2021-07-28 23:04:13.193367,PT Tambang Jaya,Non-Aktif,139.6,62779.44
145,Tambang D,Tembaga,628.67,3.43,2021-04-22 07:43:46.832829,PT Tambang Jaya,Non-Aktif,117.6,99408.57
146,Tambang C,Emas,782.02,3.21,2020-04-29 06:31:07.915005,PT Tambang Jaya,Reklamasi,60.4,54716.46
147,Tambang C,Batubara,786.09,4.66,2022-06-19 06:05:01.741194,PT Mineral Nusantara,Non-Aktif,179.4,44794.67
148,Tambang C,Tembaga,524.09,1.53,2023-11-16 17:12:45.714172,PT Emas Sejahtera,Aktif,167.8,92306.89
149,Tambang A,Tembaga,859.37,2.72,2021-12-23 01:23:55.397478,PT Mineral Nusantara,Reklamasi,293.0,51131.92
150,Tambang D,Nikel,397.46,4.48,2022-10-11 00:08:35.255693,PT Mineral Nusantara,Reklamasi,129.6,93983.53
151,Tambang C,Tembaga,889.81,0.85,2022-09-29 13:40:26.702306,PT Tambang Jaya,Non-Aktif,132.2,75290.52
152,Tambang C,Batubara,247.82,0.75,2020-02-17 13:49:08.140345,PT Emas Sejahtera,Non-Aktif,57.5,17621.08
153,Tambang A,Nikel,287.41,1.55,2022-11-30 22:23:03.331108,PT Mineral Nusantara,Non-Aktif,183.3,17579.1
154,Tambang C,Nikel,62.59,3.35,2024-08-21 16:09:37.512307,PT Tambang Jaya,Non-Aktif,255.9,32479.4
155,Tambang A,Batubara,797.63,1.67,2024-12-26 15:36:32.820884,PT Emas Sejahtera,Reklamasi,81.9,7698.94
156,Tambang B,Emas,422.88,1.36,2020-12-10 19:09:23.822768,PT Emas Sejahtera,Reklamasi,12.6,54711.54
157,Tambang C,Tembaga,236.83,2.56,2024-02-07 13:14:53.591896,PT Mineral Nusantara,Non-Aktif,210.5,86114.49
158,Tambang B,Nikel,239.47,3.26,2024-06-15 02:51:03.053768,PT Tambang Jaya,Reklamasi,19.1,40602.44
159,Tambang A,Emas,902.39,1.62,2020-06-13 05:22:52.628192,PT Mineral Nusantara,Aktif,128.7,65183.35
160,Tambang D,Batubara,835.58,1.85,2023-01-06 06:53:53.169779,PT Emas Sejahtera,Reklamasi,187.7,98166.75
161,Tambang C,Tembaga,558.0,3.26,2023-04-29 10:05:06.332620,PT Mineral Nusantara,Aktif,121.9,20179.7
162,Tambang A,Tembaga,619.95,4.76,2024-12-29 07:53:40.065133,PT Tambang Jaya,Aktif,85.6,36448.51
163,Tambang D,Nikel,479.58,3.54,2020-01-26 14:59:12.361884,PT Emas Sejahtera,Aktif,241.8,3473.99
164,Tambang D,Tembaga,397.75,4.02,2024-08-07 05:54:34.452821,PT Tambang Jaya,Non-Aktif,97.3,23957.51
165,Tambang B,Tembaga,916.32,2.15,2024-03-01 12:02:30.767903,PT Tambang Jaya,Reklamasi,62.2,78162.53
166,Tambang A,Tembaga,134.36,1.73,2020-03-23 04:14:01.763203,PT Emas Sejahtera,Aktif,122.6,66002.43
167,Tambang D,Tembaga,424.26,2.54,2022-08-26 22:24:36.233572,PT Tambang Jaya,Non-Aktif,48.2,78597.02
168,Tambang C,Batubara,351.12,4.13,2022-09-11 04:12:19.943052,PT Tambang Jaya,Reklamasi,210.2,43106.04
169,Tambang C,Emas,503.17,2.55,2020-01-30 09:44:34.416440,PT Tambang Jaya,Reklamasi,215.9,73827.72
170,Tambang B,Batubara,463.06,4.31,2023-06-21 01:28:43.720532,PT Emas Sejahtera,Non-Aktif,14.3,60356.15
171,Tambang D,Batubara,523.7,4.95,2020-04-18 08:41:38.042171,PT Tambang Jaya,Reklamasi,211.5,33513.41
172,Tambang A,Nikel,148.52,0.82,2021-11-03 22:37:44.599358,PT Mineral Nusantara,Non-Aktif,96.7,41827.97
173,Tambang C,Tembaga,518.01,0.7,2024-12-30 22:35:55.014811,PT Mineral Nusantara,Non-Aktif,200.3,54591.72
174,Tambang D,Batubara,249.99,1.17,2021-10-05 21:16:24.670005,PT Tambang Jaya,Non-Aktif,214.9,95687.04
175,Tambang D,Tembaga,192.49,2.23,2021-10-20 22:03:39.692380,PT Mineral Nusantara,Reklamasi,90.6,93204.85
176,Tambang B,Batubara,74.19,1.09,2020-06-25 11:32:15.227483,PT Mineral Nusantara,Non-Aktif,63.8,98661.26
177,Tambang C,Batubara,765.03,4.42,2020-03-01 01:34:09.014952,PT Emas Sejahtera,Non-Aktif,249.6,2624.76
178,Tambang C,Nikel,433.17,0.6,2020-07-26 13:41:37.709309,PT Tambang Jaya,Reklamasi,224.4,72000.8
179,Tambang A,Emas,630.38,1.92,2020-10-14 13:02:27.857236,PT Emas Sejahtera,Aktif,252.8,89570.89
180,Tambang C,Emas,730.32,1.33,2020-08-16 22:33:17.254944,PT Tambang Jaya,Non-Aktif,136.4,74189.28
181,Tambang A,Batubara,682.52,4.69,2024-10-02 07:38:28.956293,PT Mineral Nusantara,Non-Aktif,142.3,42223.68
182,Tambang C,Nikel,475.8,3.51,2021-03-04 20:42:37.788551,PT Emas Sejahtera,Aktif,109.8,72754.38
183,Tambang B,Tembaga,394.02,4.6,2020-01-04 22:34:35.160584,PT Emas Sejahtera,Reklamasi,154.7,44969.2
184,Tambang C,Tembaga,382.2,4.88,2023-08-09 02:48:52.496791,PT Mineral Nusantara,Reklamasi,197.5,71705.37
185,Tambang A,Batubara,643.65,2.74,2021-09-12 12:02:03.926770,PT Mineral Nusantara,Reklamasi,246.2,78254.73
186,Tambang A,Emas,499.85,1.55,2023-07-17 11:33:10.435302,PT Tambang Jaya,Non-Aktif,63.1,84476.04
187,Tambang B,Nikel,850.64,1.37,2024-09-07 19:17:08.881630,PT Tambang Jaya,Aktif,127.6,73074.42
188,Tambang C,Emas,875.95,1.5,2020-07-04 02:25:20.953139,PT Mineral Nusantara,Reklamasi,143.7,16841.87
189,Tambang C,Tembaga,178.85,3.69,2024-07-11 22:33:51.665674,PT Mineral Nusantara,Aktif,151.5,93691.51
190,Tambang B,Emas,144.87,0.68,2020-10-15 14:22:12.429333,PT Emas Sejahtera,Reklamasi,167.2,22125.6
191,Tambang C,Tembaga,634.1,0.73,2022-09-12 09:57:15.620737,PT Emas Sejahtera,Non-Aktif,242.5,36399.3
192,Tambang C,Nikel,308.21,3.24,2020-06-04 01:30:10.491272,PT Tambang Jaya,Reklamasi,267.0,43481.72
193,Tambang A,Nikel,28.39,3.39,2024-02-12 16:57:56.575874,PT Emas Sejahtera,Aktif,56.2,71528.9
194,Tambang C,Batubara,889.76,3.49,2020-10-15 12:42:11.208406,PT Mineral Nusantara,Aktif,216.7,70422.42
195,Tambang C,Batubara,234.63,2.17,2022-04-11 00:10:04.157284,PT Mineral Nusantara,Aktif,148.9,96210.72
196,Tambang B,Emas,929.99,4.13,2024-03-01 19:38:23.452771,PT Mineral Nusantara,Non-Aktif,131.1,19662.7
197,Tambang B,Nikel,720.26,2.9,2023-06-01 13:24:26.972732,PT Mineral Nusantara,Reklamasi,42.9,45622.23
198,Tambang D,Nikel,765.03,0.97,2020-09-30 16:48:46.683749,PT Tambang Jaya,Non-Aktif,28.6,21169.52
199,Tambang A,Batubara,209.45,4.09,2022-07-17 03:10:38.796676,PT Mineral Nusantara,Non-Aktif,293.6,67583.7
200,Tambang C,Tembaga,241.85,4.79,2021-05-03 17:48:32.340631,PT Mineral Nusantara,Aktif,196.3,22090.06
201,Tambang C,Emas,526.06,0.77,2023-06-29 18:45:27.790080,PT Mineral Nusantara,Aktif,141.2,86921.42
202,Tambang D,Emas,180.38,2.26,2022-06-06 17:08:31.164792,PT Mineral Nusantara,Non-Aktif,230.9,98291.31
203,Tambang C,Batubara,312.38,2.69,2021-06-05 08:51:04.716825,PT Tambang Jaya,Non-Aktif,36.4,32367.18
204,Tambang A,Nikel,328.25,1.16,2020-05-26 01:58:22.389929,PT Tambang Jaya,Reklamasi,186.2,74196.83
205,Tambang D,Batubara,168.03,4.4,2024-08-23 16:17:55.666691,PT Emas Sejahtera,Aktif,201.6,53747.27
206,Tambang A,Batubara,213.13,1.78,2024-06-11 16:28:32.091700,PT Tambang Jaya,Aktif,141.1,36568.63
207,Tambang D,Batubara,790.67,4.02,2020-06-12 14:28:34.815570,PT Tambang Jaya,Aktif,83.3,19931.42
208,Tambang D,Batubara,175.52,3.52,2023-05-02 20:07:49.994944,PT Tambang Jaya,Reklamasi,286.8,72201.6
209,Tambang B,Tembaga,38.17,3.19,2022-10-01 21:57:27.915435,PT Emas Sejahtera,Reklamasi,97.3,16715.56
210,Tambang A,Tembaga,633.06,1.36,2021-05-16 02:38:39.490647,PT Mineral Nusantara,Aktif,46.2,28783.11
211,Tambang C,Nikel,976.22,1.49,2024-08-20 16:48:18.670098,PT Emas Sejahtera,Aktif,192.8,92041.54
212,Tambang C,Batubara,337.9,0.71,2022-02-02 05:08:17.145130,PT Mineral Nusantara,Non-Aktif,176.6,51328.09
213,Tambang A,Tembaga,127.47,1.58,2022-03-09 07:21:56.807485,PT Tambang Jaya,Non-Aktif,228.9,85554.38
214,Tambang C,Nikel,574.68,2.05,2021-10-12 21:15:22.685201,PT Mineral Nusantara,Reklamasi,228.6,76986.86
215,Tambang C,Batubara,907.29,4.25,2023-08-10 03:54:26.849668,PT Emas Sejahtera,Aktif,189.9,38247.65
